Username,Handle,Timestamp,Comments,Likes,Retweets,Text
toddstarnes,@toddstarnes,2020-12-11T16:11:57.000Z,"One of our callers says her dead father got a text message asking him to vote in the Georgia U.S. Senate race. Her dad was a registered Republican --- and lived in New Jersey.Caller Says Dead Father Got Text Message Urging Him To Vote in Georgia Election. Her Father was a...
The following is a transcript of Todd’s morning radio commentary. Hello Americans. I’m Todd Starnes with news and commentary next.... View Article
toddstarnes.com",9.5K,15.4K,52.9K
Donald J. Trump,@realDonaldTrump,2020-12-12T13:19:55.000Z,"Who is a worse governor, 
@BrianKempGA
 of Georgia or 
@dougducey
 of Arizona??? These are two RINO Republicans who fought against me and the Republican Party harder than any Democrat. They allowed states that I won easily to be stolen. Never forget, vote them out of office!This claim about election fraud is disputed",21.3K,61K,171.2K
Donald J. Trump,@realDonaldTrump,2020-12-12T05:46:39.000Z,"“We’ve not gotten any court to judge this (the vote) on its merit.” 
@DanPatrick
 of Texas. It is a legal disgrace, an embarrassment to the USA!!!",37.9K,38.6K,194.2K
Donald J. Trump,@realDonaldTrump,2020-12-12T05:38:34.000Z,FDA APPROVES PFIZER VACCINE FOR EMERGENCY USE!!!,16.5K,25.5K,208.4K
Donald J. Trump,@realDonaldTrump,2020-12-12T05:24:13.000Z,"So, you’re the President of the United States, and you just went through an election where you got more votes than any sitting President in history, by far - and purportedly lost. You can’t get “standing” before the Supreme Court, so you “intervene” with wonderful states.....This claim about election fraud is disputed",36K,46.8K,200.8K
Donald J. Trump,@realDonaldTrump,2020-12-12T05:24:13.000Z,"....that, after careful study and consideration, think you got “screwed”, something which will hurt them also. Many others likewise join the suit but, within a flash, it is thrown out and gone, without even looking at the many reasons it was brought. A Rigged Election, fight on!This claim about election fraud is disputed",23.8K,33.1K,167.9K
Donald J. Trump,@realDonaldTrump,2020-12-12T04:50:47.000Z,"The Supreme Court really let us down. No Wisdom, No Courage!",90.8K,74K,355.9K
Donald J. Trump,@realDonaldTrump,2020-12-12T04:37:08.000Z,"“Don’t the voters have to know what the Federal prosecutor’s know. The establishment failed us. The media, congressional leaders, the Democrat Party? No wonder 74 (a pres. record) million Americans voted for Donald Trump, & they still don’t believe the outcome of this election...",25.6K,37.8K,190.1K
Donald J. Trump,@realDonaldTrump,2020-12-12T04:37:08.000Z,"....The American people deserve answers, better late than never.”  
@IngrahamAngle",10.4K,21.8K,144.3K
Donald J. Trump,@realDonaldTrump,2020-12-12T02:32:57.000Z,,49.5K,57.7K,242.5K
Donald J. Trump,@realDonaldTrump,2020-12-11T23:34:09.000Z,"0:30
1.4M views
This claim about election fraud is disputed",48.9K,44.3K,146.6K
Donald J. Trump,@realDonaldTrump,2020-12-11T23:05:38.000Z,"1:00
2.3M views
This claim about election fraud is disputed",29.7K,47.1K,162.6K
Donald J. Trump,@realDonaldTrump,2020-12-11T22:36:07.000Z,"Georgia, where is signature verification approval? What do you have to lose? Must move quickly! 
@BrianKempGA
 @GeoffDuncanGA
 @GaSecofState",28.8K,35.8K,174.1K
Donald J. Trump,@realDonaldTrump,2020-12-11T20:28:34.000Z,"If the Supreme Court shows great Wisdom and Courage, the American People will win perhaps the most important case in history, and our Electoral Process will be respected again!",81.6K,63.7K,292.2K
Donald J. Trump,@realDonaldTrump,2020-12-11T20:28:16.000Z,"If the two Senators from Georgia should lose, which would be a horrible thing for our Country, I am the only thing that stands between “Packing the Court” (last number heard, 25), and preserving it. I will not, under any circumstances, Pack the Court!",28.8K,37.8K,185.7K
